% Definitions and descriptions of IMOS moorings/stations sites.
%
% These information are used in impossible location QC test. 
% distanceKmPlusMinusThreshold overrules other thresholds.
%
% Format:
%
% name, nominalLongitude, nominalLatitude, longitudePlusMinusThreshold, latitudePlusMinusThreshold, distanceKmPlusMinusThreshold
%
NRSMAI, 	148.2333, 		-42.59667, 		0.025, 	0.025, 	2.5
NRSNSI, 	153.562, 		-27.34, 		0.025, 	0.025, 	2.5
NRSKAI, 	136.4473, 		-35.83217, 		0.025, 	0.025, 	2.5
NRSESP, 	121.85, 		-33.93333, 		0.025, 	0.025, 	2.5
NRSROT, 	115.4167, 		-32, 			0.025, 	0.025, 	2.5
NRSNIN, 	113.947, 		-21.86652, 		0.025, 	0.025, 	2.5
NRSDAR, 	130.6952, 		-12.3382,		0.025, 	0.025, 	2.5
NRSYON, 	147.6184, 		-19.30847, 		0.025, 	0.025, 	2.5
NRSPHB, 	151.25, 		-34.08333, 		0.025, 	0.025, 	2.5
BMP090, 	150.235,		-36.19,			0.025, 	0.025, 	2.5
BMP120, 	150.309, 		-36.213,		0.025, 	0.025, 	2.5
JB070, 		150.85, 		-35.083, 		0.025, 	0.025, 	2.5
PH025, 		151.18, 		-34.082, 		0.025, 	0.025, 	2.5
PH050, 		151.189, 		-34.089, 		0.025, 	0.025, 	2.5
PH100, 		151.224, 		-34.12,  		0.025, 	0.025, 	2.5
PH125, 		151.256, 		-34.148, 		0.025, 	0.025, 	2.5
ORS065, 	151.315, 		-33.898, 		0.025, 	0.025, 	2.5
SYD100, 	151.382, 		-33.943, 		0.025, 	0.025, 	2.5
SYD140, 	151.459, 		-33.994, 		0.025, 	0.025, 	2.5
CH070, 		153.3, 			-30.275, 		0.025, 	0.025, 	2.5
CH100, 		153.397, 		-30.268, 		0.025, 	0.025, 	2.5
SEQ200, 	153.77478, 		-27.33998,		0.025, 	0.025, 	2.5
SEQ400, 	153.87653, 		-27.33185, 		0.025, 	0.025, 	2.5
GBROTE, 	152.1726333, 	-23.48338333, 	0.025, 	0.025, 	2.5
GBRHIS, 	151.9549167, 	-23.5133, 		0.025, 	0.025, 	2.5
GBRHIN, 	151.9868167, 	-23.38343333, 	0.025, 	0.025, 	2.5
GBRELR, 	152.8793, 		-21.03088333, 	0.025, 	0.025, 	2.5
GBRCCH, 	151.9933667, 	-22.40815, 		0.025, 	0.025, 	2.5
GBRMYR, 	147.3436833, 	-18.21963333, 	0.025, 	0.025, 	2.5
GBRPPS, 	147.1632667, 	-18.31035, 		0.025, 	0.025, 	2.5
GBRLSH, 	145.6436, 		-14.69953333, 	0.025, 	0.025, 	2.5
GBRLSL, 	145.3436667, 	-14.33948333, 	0.025, 	0.025, 	2.5
SAM2CP, 	135.6837667, 	-35.26848333, 	0.025, 	0.025, 	2.5
SAM4CY, 	136.8560017, 	-36.51985, 		0.025, 	0.025, 	2.5
SAM5CB, 	135.0098167, 	-34.9275, 		0.025, 	0.025, 	2.5
SAM1DS, 	136.2435167, 	-36.51618333, 	0.025, 	0.025, 	2.5
SAM6IS, 	136.59975, 		-35.50023333, 	0.025, 	0.025, 	2.5
WATR05, 	115.2458333, 	-31.62666667, 	0.025, 	0.025, 	2.5
WATR10, 	115.1958333, 	-31.64666667, 	0.025, 	0.025, 	2.5
WATR15, 	115.1166667, 	-31.69333333, 	0.025, 	0.025, 	2.5
WATR20, 	115.03, 		-31.71933333, 	0.025, 	0.025, 	2.5
WATR50, 	114.9433333, 	-31.7705, 		0.025, 	0.025, 	2.5
WACA20, 	115.2333333, 	-31.98333333, 	0.025, 	0.025, 	2.5
WACANO, 	114.9933333, 	-31.92166667, 	0.025, 	0.025, 	2.5
WACASO, 	115.1566667, 	-32.01666667, 	0.025, 	0.025, 	2.5
ITFJBG, 	128.96518, 		-13.60957, 		0.025, 	0.025, 	2.5
ITFFTB, 	128.47717, 		-12.29043, 		0.025, 	0.025, 	2.5
ITFMHB, 	128.0001, 		-10.9997, 		0.025, 	0.025, 	2.5
ITFTIS, 	127.554, 		-9.8176, 		0.025, 	0.025, 	2.5
KIM050, 	121.58813, 		-16.3879, 		0.025, 	0.025, 	2.5
KIM100, 	121.3038, 		-15.67976, 		0.025, 	0.025, 	2.5
KIM200, 	121.24307, 		-15.5347, 		0.025, 	0.025, 	2.5
KIM400, 	121.11471, 		-15.22097, 		0.025, 	0.025, 	2.5
PIL050, 	116.41615, 		-20.05467, 		0.025, 	0.025, 	2.5
PIL100, 	116.11155, 		-19.69437, 		0.025, 	0.025, 	2.5
PIL200, 	115.91535, 		-19.43557, 		0.025, 	0.025, 	2.5
SAM3MS, 	135.904, 		-36.1459, 		0.025, 	0.025, 	2.5
SAM7DS, 	135.8439, 		-36.1809, 		0.025, 	0.025, 	2.5
SAM8SG, 	136.69, 		-35.25, 		0.025, 	0.025, 	2.5
TAN100, 	113.9065833, 	-21.8493, 		0.025, 	0.025, 	2.5
