%
% A list of all IMOS compliant parameter names, associated standard names from version 20
% (http://cfconventions.org/Data/cf-standard-names/20/build/cf-standard-name-table.html),
% units of measurement, fill values, and valid min/max values. Entries are in the following format:
% 
%   parameter name, is cf parameter, standard/long name, units of measurement, direction positive, reference datum, data code, fillValue, validMin, validMax, NetCDF C type
%
% For parameters which are specified as a percentage, use the word 'percent' 
% in this file - this will be automatically converted into a '%' sign. This is 
% necessary because Matlab will interpret literal '%' signs as the beginining 
% of a comment.
%

ABSI,                0, backscatter_intensity_from_acoustic_beam,                                                 decibel,       ,              ,                                  A, 999999.0, 0.0,      150.0,    float
ABSI1,               0, backscatter_intensity_from_acoustic_beam_1,                                               decibel,       ,              ,                                  A, 999999.0, 0.0,      150.0,    float
ABSI2,               0, backscatter_intensity_from_acoustic_beam_2,                                               decibel,       ,              ,                                  A, 999999.0, 0.0,      150.0,    float
ABSI3,               0, backscatter_intensity_from_acoustic_beam_3,                                               decibel,       ,              ,                                  A, 999999.0, 0.0,      150.0,    float
ABSI4,               0, backscatter_intensity_from_acoustic_beam_4,                                               decibel,       ,              ,                                  A, 999999.0, 0.0,      150.0,    float
ABSIC1,              0, backscatter_intensity_from_acoustic_beam_1,                                               count,         ,              ,                                  A, 999999.0,    ,           ,    float
ABSIC2,              0, backscatter_intensity_from_acoustic_beam_2,                                               count,         ,              ,                                  A, 999999.0,    ,           ,    float
ABSIC3,              0, backscatter_intensity_from_acoustic_beam_3,                                               count,         ,              ,                                  A, 999999.0,    ,           ,    float
ABSIC4,              0, backscatter_intensity_from_acoustic_beam_4,                                               count,         ,              ,                                  A, 999999.0,    ,           ,    float
CMAG1,               0, particle_distribution_correlation_magnitude_from_acoustic_beam_1,                         1,             ,              ,                                  E, 999999.0, 0.0,      250.0,    float
CMAG2,               0, particle_distribution_correlation_magnitude_from_acoustic_beam_2,                         1,             ,              ,                                  E, 999999.0, 0.0,      250.0,    float
CMAG3,               0, particle_distribution_correlation_magnitude_from_acoustic_beam_3,                         1,             ,              ,                                  E, 999999.0, 0.0,      250.0,    float
CMAG4,               0, particle_distribution_correlation_magnitude_from_acoustic_beam_4,                         1,             ,              ,                                  E, 999999.0, 0.0,      250.0,    float
PERG1,               0, percentage_of_good_three_beam_solutions,                                                  percent,       ,              ,                                  E, 999999.0, 0.0,      100.0,    float
PERG2,               0, percentage_of_transformations_rejected,                                                   percent,       ,              ,                                  E, 999999.0, 0.0,      100.0,    float
PERG3,               0, percentage_of_measurements_with_more_than_one_beam_bad,                                   percent,       ,              ,                                  E, 999999.0, 0.0,      100.0,    float
PERG4,               0, percentage_of_good_four_beam_solutions,                                                   percent,       ,              ,                                  E, 999999.0, 0.0,      100.0,    float
AIRT,                1, air_temperature,                                                                          degrees_Celsius,,             ,                                  M, 999999.0, -50.0,    50.0,     float
ATMP,                1, air_pressure,                                                                             Pascal,        ,              ,                                  M, 999999.0, 90000.0,  110000.0, float
ATMS,                1, air_pressure_at_sea_level,                                                                Pascal,        ,              ,                                  M, 999999.0, 90000.0,  110000.0, float
BAT,                 1, volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,                       m-1,           ,              ,                                  E, 999999.0, ,         ,         float
BOT_DEPTH,           1, sea_floor_depth_below_sea_surface,                                                        m,             down,          sea surface,                       E, 999999.0, 0.0,      12000.0,  float
CDIR,                1, direction_of_sea_water_velocity,                                                          degree,        clockwise,     true north,                        V, 999999.0, 0.0,      360.0,    float
CDIR_MAG,            1, direction_of_sea_water_velocity,                                                          degree,        clockwise,     magnetic north,                    V, 999999.0, 0.0,      360.0,    float
CDOM,                0, concentration_of_coloured_dissolved_organic_matter,                                       1e-9,          ,              ,                                  K, 999999.0, 0.0,      375.0,    float
CHC,                 0, mass_concentration_of_crude_hydrocarbon_in_sea_water,                                     ug l-1,        ,              ,                                  E, 999999.0, ,         ,         float
CHR,                 0, mass_concentration_of_refined_hydrocarbon_in_sea_water,                                   ug l-1,        ,              ,                                  E, 999999.0, ,         ,         float
CNDC,                1, sea_water_electrical_conductivity,                                                        S m-1,         ,              ,                                  C, 999999.0, 0.0,      50000.0,  float
CPHL,                0, mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water, mg m-3,        ,              ,                                  K, 999999.0, 0.0,      100.0,    float
CHLF,                0, mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water, mg m-3,        ,              ,                                  K, 999999.0, 0.0,      100.0,    float
CHLU,                0, mass_concentration_of_inferred_chlorophyll_from_relative_fluorescence_units_in_sea_water, mg m-3,        ,              ,                                  K, 999999.0, 0.0,      100.0,    float
CSPD,                1, sea_water_speed,                                                                          m s-1,         ,              ,                                  V, 999999.0, 0.0,      10.0,     float
CSPD_STD,            0, sea_water_speed_standard_deviation,                                                       m s-1,         ,              ,                                  V, 999999.0, 0.0,      10.0,     float
DENS,                1, sea_water_density,                                                                        kg m-3,        ,              ,                                  D, 999999.0, ,         ,         float
