% This file provides a mapping between instrument make/model entries in the 
% deployment database, and the corresponding parsers to use for data that 
% comes from those instruments. 
%
% Note that the assumption is made that instrument make/model fields will 
% never contain a comma character.
%
% format: make, model, parser

SEABIRD, 		SBE37 - CONDUCTIVITY TEMPERATURE AND PRESSURE RECORDER, 		SBE37
SEABIRD, 		SBE37IM - CONDUCTIVITY TEMPERATURE AND PRESSURE RECORDER, 		SBE37
SEABIRD, 		SBE39 - TEMPERATURE RECORDER, 									SBE39
SEABIRD, 		SBE39P - TEMPERATURE AND PRESSURE RECORDER, 					SBE39
WETLABS, 		WQM, 															WQM
RDI, 			ADCP - WORKHORSE, 												workhorse
RDI, 			ADCP - QUARTERMASTER, 											workhorse
SEABIRD, 		SBE37SM - MicroCAT C-T Recorder Serial Interface and Memory, 	SBE37SM
NORTEK, 		ADCP - AWAC, 													awac
NORTEK, 		ADCP - CONTINENTAL, 											continental
Aquatec, 		Aqualogger 520T, 												aquatec
Aquatec, 		Aqualogger 520PT, 												aquatec
Teledyne RD, 	Workhorse ADCP, 												workhorse
FSI, 			NXIC BIO-500, 													NXICBinary
SEABIRD, 		SBE19plus V2, 													SBE19
RDI, 			ADCP - WORKHORSE QUARTERMASTER, 								workhorse
RDI, 			ADCP - WORKHORSE SENTINEL, 										workhorse
SEABIRD, 		SBE39P - TEMPERATURE & PRESSURE RECORDER, 						SBE39
SEABIRD, 		SBE39IM - TEMPERATURE RECORDER, 								SBE39
NORTEK, 		ADCP - AQUAPRO, 												aquadoppProfiler
RDI, 			ADCP-Workhorse, 												workhorse
AQUATEC, 		AQUALOGGER, 													aquatec
SEABIRD, 		CTD - SBE19Plus, 												SBE19
Seabird        , SBE39 [600m] temp only, SBE39
RDI, ADCP300 Sentinel, workhorse
RBR, DR1050P, DR1050
Seabird        , SBE39 [600m] temp & press., SBE39
RDI, WHS600, workhorse
Seabird, SBE19plus, SBE19
Sea-Bird Electronics, SBE19plusV2, SBE19
FSI, FSI, NXICBinary
WET Labs, WQM, WQM
Weblabs, WQM, WQM
Nortek      , ADCP 190kHz, continental
RBR, XR-420, XR
SEABIRD, CTD - SBE 9 Plus, SBE19
SEABIRD, SBE37SM - MicroCAT C-T Recorder with RS-232 Interface, NIWA
RDI, WHS300-I-UG306, workhorse
Sea-Bird Electronics, SBE37SM, SBE37SM
RDI, WHLS150-I-2, workhorse
Nortek, Aquadopp DW, aquadoppVelocity
Star Oddi, Starmon mini, StarmonMini
Sea-Bird Electronics, SBE39, SBE39
RDI, ADCP - WORKHORSE SENTINEL NEMO, workhorse
RBR, TWR-2050, XR
BRANCKER, TEMPERATURE PRESSURE - TDR-2050, XR
BRANCKER, TEMPERATURE LOGGER TR-1060P, XR
SEABIRD, SBE16 - CONDUCTIVITY TEMPERATURE LOGGER, SBE19
SEABIRD, CTD - SBE19PLUS V2 SEACAT, SBE19
REEFNET, SENSUS ULTRA, sensusUltra
RDI, ADCP-WORKHORSE-SENTINEL, workhorse
AQUATEC, AQUALOGGER MODEL 520, aquatec
FSI, NXIC-CTD-BIO, NXICBinary
NORTEK, ADCP - AWAC AST, awac
